"siteID","Sites","Description","Soil.characteristics","Products","Economic.interests","Other.services","Hypothetical.combinations","Link","lat","lon"
11,"Castel Ritaldi, Perugia, Italy.","Olive trees (Olea europaea) is growing in rows of up to 1670 trees/ha. The asparagus plants are established only along the tree rows to allow the management practices, with density of 4950 plants/ha. The olive/asparagus rows are 4 meter spaced with a grass understorey available for poultry grazing.","Clayey soil (Fine texture)","Olive for oil production, asparagus for edible spears, and chicken meat","Since wild asparagus grows naturally in abandoned olive orchards, once established is a perennial low maintenance crop. The market for its spears is already established, with two to four times the price of cultivate (Benincasa et al. 2007).","Poultry grazing as a pest and weed control and to reduce the use of fertilizer","Olive orchard and asparagus","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",42.8239,12.6725
12,"Mostly in coastal areas around the country and in the inland of west and south Greece (Epirus, Aitoloakarnania, Peloponnese, Crete and in most islands of Ionian and Aegean sea).","The combination of olive orchards with arable crops (cereals) in the same field is a traditional land use system in Greece. The combination of olives and cereals can stabilize the economic return in the context of variable weather conditions.","Luvisols","From trees: Olives, olive oil 
From understory: cereal crops, hay ","","Soil protection, tourism, hunting, carbon sequestration, water cycle regulation, biodiversity, fire 
prevention (shrub control), and organic matter improvement.","Olives with cereals 
Olives with a mixture of cereals and legumes","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
13,"Mostly in Macedonia, N. Greece and Central Greece but throughout Greece in small scale.","Combination of olive orchards with legumes and aromatic plants in Greece.","Lithosols – Chromic Luvisols","From trees: Olives, olive oil, 
From undercover: vegetables","","Soil protection, tourism, hunting, carbon sequestration, water cycle regulation, 
biodiversity, fire prevention (shrub control), and organic matter improvement. ","Olives with legumes 
Olives with aromatic plants ","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
14,"throughout Spain","Spain has a shortage of quality wood. In the last decade, hardwood plantations have substantially increased in many Spanish regions. In order to grow trees for high quality timber in short rotations, an intensive management, based on high levels of energy consumption and inputs, has been adopted, with high economic and environmental costs. The control of competing herbaceous vegetation and fertilization are two of the most controversial management practices.","Cambisols","High quality timber, meat","","Trees increase carbon storage. 
Trees in silvopastoral systems develop deeper root systems that reduce nitrate leaching. 
This system allow to explore new possibilities for sustainable development of farming and 
agricultural districts, where annual livestock production within the parameters of current 
animal welfare can be compatible with the medium-long term hardwood timber 
production, with great current and future demand, developing an environmentally 
efficient production system. ","Legume sowing vs. grass strata (thereafter Fertilized Walnut) 
Grazing vs. ploughing or mowing (thereafter Grazed Walnut) ","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
15,"Mostly in Western, Central and South Greece.","Citrus groves of orange, tangerine and lemon trees are a characteristic land use system in Chania, Crete, Greece. In the past, farmers used to cultivate crops in between citrus trees after pollarding them to change varieties. They also used cypress trees as hedgerows to protect citrus trees from winds (as windbreaks). However nowadays they prefer to cut the cypress trees from the hedgerows or to uproot citrus trees and switch to avocado monoculture for higher profit. Only a few farmers still practice agroforestry as citrus trees with intercrops ensuring a steady economic return every year irrespectively of weather conditions or other type of hazards until tree crown fully develops to exclude any form of intercropping. Most of the intercrops are vegetables. After crown development intercrops are replaced by chickens grazing.","Lithosols – Chromic Luvisols","From trees: Oranges, orange juice, 
From undercover: vegetables ","Locals sell oranges in the various hotels during the summer season. It is of great interest 
however farmers are desperate due to the low product price. However it is a beautiful 
site with cultural value. ","Soil protection, tourism, hunting, carbon sequestration, water cycle regulation, 
biodiversity, fire prevention (shrub control), and organic Matter improvement.","Orange with aromatic plants","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
16,"Trás-os-Montes region (north interior Portugal) 
Mountain regions ","These areas include low tree density stands of Castanea sativa species, on average 89 trees per hectare according to AFN (2010), managed for chestnut or high quality wood production in association to permanent pastures (natural or improved) for animal consumption. These areas are also frequently characterized by mixed stands with Quercus pyrenaica trees.","For fruit production:  
Texture: sandy soils (light, fresh), well drained  
Depth: deep soils 
Lithology: Granites, schist, gneisses 
For wood production: 
The has for fruit production (above) but also viable in more shallow soils, in mountain 
areas presenting some erosion  
Other characteristics: 
Calcifuge species; needs soils with medium to high levels of organic matter; not suitable 
for heavy texture soils ","Fruit, wood, firewood (local consumption), direct and indirect animal products","Fruit, wood, direct and indirect animal products","Tourism","1 - Fruit production and sheep grazing  
2 – Wood production and sheep grazing ","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
17,"6210 Sursee (central Switzerland)","The plot is located in the canton of Lucerne, central Switzerland. The farm has an area of approximately 50 hectares. In 2009, 545 apple trees (varieties Boskoop and Spartan) were planted. The intermediate cultures consist of winter wheat, strawberries and sown flower strips. Since the farmer had to give up almost 15 hectares of his farmland for construction, the intensification of agricultural production was a primary goal. The apples should be marketed as a cider fruit. By integrating the sown flower strips ecological direct payments with premiums for eco-quality also can be obtained. Maximizing the subsidies is an additional objective.","Eutric cambisol, sandy loam with slight gley characteristics; detailed soil profile available.","Strawberries for fresh marketing, arable crops, apple for juice production","Crops; apple for juice; direct payments for biodiversity","Landscape scenery, biodiversity","Silvo-arable system with fruit trees (challenge for modelling apple!), berries (another challenge), but otherwise a classical rotation.","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",47.1708,8.1108
18,"CH-4463 Buus (north-western Switzerland)","This is an individual plot planted by a pioneer farmer. It is located in the canton of Basel-Country on a farm with a total area of 20 hectares. In March 2011, 52 Aspen (Populus tremula) were planted. The area between the tree rows was first managed as grassland, is now intercropped with rye, corn and sorghum. The wood of the aspens should be harvested in 30 to 35 years as energy wood.","Calcareous cambisol, slight humus content, clay loam, skeleton rich, moderately deep; detailed soil profile available. 5% inclination","Rye, silage maize for fodder; energy wood","Fodder production for suckler cows; direct payments for biodiversity","CO2 neutral energy production, biodiversity, landscape scenery","“Classical” silvo-arable system with 35 year rotation; unique for Switzerland; CO2 balance would be of specific interest","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",47.5069,7.8644
19,"England","Organic and conventional silvoarable systems with top fruit (apples, pears) and/or short rotation coppice for bioenergy, and arable crops in the alleys. Alleys typically 12 to 24 m wide.","Variable","Trees: Top fruit (apples, pears, plums), woodchip for bioenergy 
Agriculture: cereals ","Currently very small both at a national scale and on a farm scale. Enterprise diversification is a key economic aim for the producers.","Biodiversity support including for functional biodiversity such as pollinators and natural pest control; soil protection (wind erosion, soil fertility, soil structure); shelter for crops","Apple with cereals (wheat, oats, barley) 
Apple with legume ley 
Short Rotation Coppice with cereals 
Short Rotation Coppice with legume ley","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
20,"North-eastern Germany","Alley cropping is a method of planting in which rows of trees are interspersed with rows of crops, improving the soil and providing nutrients, particularly nitrogen, to the crops. The tree rows have the function to prevent soil erosion and create a microclimate for crops.","Cambisols, potzols, gleysols, luvisols, histosols","From trees: wood products, biomass feedstocks 
From undercover: crops ","Number of jobs? 
The crops can be used for a gasifier and the biomass for a combined heat and 
power plant ","Soil protection, C-sequestration, water quality, biodiversity, soil fertility/organic Matter","Populus spp. + cereal, maize, alfalfa rotation 
Robinia pseudoacacia . + cereal, maize, alfalfa rotation","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
21,"Italy, Po Valley, plain and hilly areas of peninsular Italy","Poplar hybrids and species has been intensively managed in Italy for timber production mostly in monoculture plantations, but often in intercropping systems (intercropping of arable crops in between young tree rows) and in linear plantations along field edges, drainage canals and streams. Poplar cultivation, in all the above cultivation models, is currently declining for stagnating domestic timber market. Urgent environmental concerns connected to Global Changes (Carbon sequestration, bioenergy, soil erosion control) should open new prospective for poplar silvoarable systems and linear plantations, combining local bioenergy production with food security and environmental amelioration, such us phytoremediation.","Alluvial soils","From trees: timber (plywood, pallets, wooden fruit boxes), bioenergy; 
From undercover: crops, fodder. ","Traditionally poplar plantations have produced 50% of the domestic timber production in 
Italy, with a declining trend because of the imports competition. Forest certification and 
local bioenergy production could reverse the negative trend. Furthermore, new grants 
(from Rural Development Plans) for farmers establishing new silvoarable systems could be a 
new opportunity for implementing poplar based agroforestry. ","Soil and water protection, carbon sequestration, biodiversity, phytoremediation.","Hybrid poplar linear plantation + corn/wheat 
Hybrid poplars silvoarable system+corn/wheat ","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
22,"Mostly in northern Greece (Macedonia and Thrace).","Agroforestry is a traditional land use system in Voio in which farmers used to combine agricultural production with high value tree species in the same plot. In this way they ensured a steady economic return every year irrespectively of weather conditions or other type of hazards. The area is characterized by fast growing species (poplars) and walnuts at the edges combined with dry beans, cereals and pastures.","Lithosols – Campisols","From trees: timber and nuts 
From understory: cereal crops and beans ","","Soil protection, tourism, hunting, carbon sequestration, water cycle regulation, biodiversity, fire prevention (shrub control), and organic Matter improvement.","","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
23,"Galicia (NW Spain)","Silvoarable systems established with Juglans clone + corn and Prunus avium L. + corn at different densities of plantation and with trees of different age in Spain. An ad-doc experimental plot is being established by a farmer in Portugal under his intensive managed pivot irrigated maize plots. The interest of the innovation is to increase the marginal land around the corners, where the pivot irrigation does not reach. The assessment would estimate the yield of the trees which seem to progress at a potential yield. Different species were planted, including black walnuts and wild cherry.","Humic cambisol","From Trees: timber and fodder  
From undercover: cereals ","Growing high quality trees in association with arable crops may improve the sustainability of farming systems, diversify farmers’ incomes and provide new products to the wood industry","Soil protection, novel landscapes of high value, carbon sequestration, water cycle regulation, organic matter improvement","Prunus avium L. + corn 
Juglans clon + corn 
Juglans clon + wheat, barley or triticale ","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",42.8782,-8.5445
24,"Central Portugal","Silvoarable systems established with Juglans clone + corn and Prunus avium L. + corn at different densities of plantation and with trees of different age in Spain. An ad-doc experimental plot is being established by a farmer in Portugal under his intensive managed pivot irrigated maize plots. The interest of the innovation is to increase the marginal land around the corners, where the pivot irrigation does not reach. The assessment would estimate the yield of the trees which seem to progress at a potential yield. Different species were planted, including black walnuts and wild cherry.","Humic cambisol","From Trees: timber and fodder  
From undercover: cereals ","Growing high quality trees in association with arable crops may improve the sustainability of farming systems, diversify farmers’ incomes and provide new products to the wood industry","Soil protection, novel landscapes of high value, carbon sequestration, water cycle regulation, organic matter improvement","Prunus avium L. + corn 
Juglans clon + corn 
Juglans clon + wheat, barley or triticale ","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
25,"Ribatejo and Estremadura regions (Portugal)","In Portugal Eucalyptus globulus is managed as a forest specie for pulp production. Due to an increase demand of wood biomass, it is being increasingly being considered for biomass production. The production of wood biomass is being made in two alternative management regimes: high tree density forest stands and agroforestry areas installed in agriculture or marginal land. In this last alternative, tree biomass production is being made simultaneously with the production of leguminous crops (e.g. chickpea) or animal grazing in improved pastures. The last system described is practiced in e.g. Brazil, but it is still new and in need of evaluation under temperate/Mediterranean climates.","For combination with leguminous crops: deep and fertile agriculture soils, well drained. 
For combination with animal grazing: low demand  
Other: prefers soils with a low limestone rate ","Biomass, crops, animal products","To maximize the water use available from the irrigation canal and to produce biomass and pasture","","Eucalyptus + pasture  
Eucalyptus + chickpea crop ","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
26,"Jutland, Denmark","Integrated production of free-range pigs and energy crops. The energy crops are willow and/or poplar. The energy crops are established in paddocks with lactating sows and piglets. The paddocks are organised so that they include two or more rows of poplar/willow in addition to an area with grass clover.","Podzols","Pigs for slaughter – possible wood for energy purpose","The revenue from the pigs sale are by far the most important","Trees for shadow, alleviation of nitrate leaching to ground water from pigs manure deposition,","Poplar, grass clover and free-ranged lactating sows (every second year barley undersown with grass clover)","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",56.2639,9.5018
27,"Southern France – Aude Department","Different tree species planted in 1988 associated with pasture. Two trees densities: 100 trees /ha and 400 trees /ha were compared. A sole crop control and a forestry control were settled. Elevation = 570 m, field on a hillside","23 % clay, 40 % silt, less than 15 % of stones, pH = 8.4","From trees : timber wood when they will be big enough 
From animals : meat (1.3 to 1.6 lamb/ewe/year) ","Protection of the grass against drought in summer: more green grass in summer. Protection of the animals against heat and cold","Carbon sequestration, biodiversity improvement (bats, birds, …), hunting, water cycle regulation, fire prevention (shrub control), organic Matter improvement","Wild cherry / grass","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
28,"England","Woodland chicken and egg systems. Sainsbury’s first developed its Woodland brand for 
its free range and SO organic eggs in 2004, with 1p per dozen eggs sold donated to the 
Woodland Trust. This followed farmer John Widdowson’s observations on how his hens 
preferred the shade and protection of trees. Sainsburys expanded the scheme to include 
meat birds in 2009, with 2p from every chicken sold donated to the Woodland Trust. All 
the free Woodland range and organic farms must be: - planted with trees which cover at least 20% of the range area where the birds are free 
to roam outdoors - planted with a mixture of fast growing and slower native trees which are indigenous to 
the local area - have trees planted close to the house to encourage the hens outside to range - RSPCA Freedom Food standard approved ","Variable","Meat birds 
Eggs 
The trees are not considered as productive components in most systems, but some 
farmers use woodchip or logs for bioenergy ","In 2013, the Woodland Trust reported the sale of about 400 million woodland eggs through Sainsbury’s, equivalent to about 3.4% of the UK market. Other retailers also sell woodland eggs. There is a price premium of £0.15-0.20 per six eggs for woodland eggs.","Shelter for poultry","Mixed broadleaf tree species with broilers or layers","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
29,"England","Elm Farm Silvopastoral experimental system, Berkshire UK: short rotation coppice (SRC) (willow Salix viminalis) and alder (Alnus glutinosa) in twin rows, with 24m pasture alleys in between tree rows.","Wickham series, changing from heavy clay loam at top of slope to sandy loam at bottom","Woodchip for bioenergy; tree fodder for livestock 
Silage 
Dairy (indirectly) and beef ","","Biodiversity support including for functional biodiversity such as pollinators and natural pest control; soil protection (reduce waterlogging, soil fertility, soil structure); shelter for livestock","SRC willow with pasture 
SRC alder with pasture 
SRC mixed alder/willow with pasture 
SRC willow with livestock 
SRC alder with livestock 
SRC mixed alder/willow with livestock ","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
30,"Centre and southern Portugal","Honey Locust (Gleditsia triacanthos) is leguminous tree, having a deep taproot 
growing down 3-6 m deep and few lateral roots that make it suitable for 
agroforestry systems. Furthermore, in young plants, stems bear very large, flat 
thorns and the young trees form very dense thorny thickets, providing defence to 
animal browsing, where coppice regrowth and pods are a valuable fodder. It begins 
bearing pods 3 years after planting and it can produce 20-75 kg pods/tree within 8 
years. However this system is underutilized. 
 
Gleditsia triacanthos by nature has small, sparse foliage and a long period of leaf 
retention. The root system develops from a central taproot that can extend 
downward to 3-6 m permitting the tree to absorb water and nutrients of great 
depths. Moreover, it usually has fewer lateral roots than many other potential 
agroforestry trees, which minimizes its competition with the companion crop.  
 
These characteristics makes honeylocust interesting for inclusion in agroforestry 
systems. It succeeds on most soils, so long as they are well drained and can grow on 
nutritionally poor soils This species likes long hot summers and may thus not 
produce well in maritime climates. Research findings (Dupraz and Newman 1997) 
show the potential of Gleditsia triacanthos as a fodder tree for ruminants. It is 
estimated that on a deep soil with high water resources, an orchard at 200 trees/ha 
may produce about 2 ton of pod dry matter at age 10 years (Dupraz and Newman 
1997). Trees show an alternate bearing pattern and some varieties are in opposite 
phases, making a mixture of clones necessary to achieve sustained yields.  
 
It is intolerant to shading, resistant to drought and highly resistant to flooding. 
Highly sensible to fire due to its thin bark.  
Young leaves of Gleditsia have a forage value near the values of Lucerne 
In central and southern Portugal it can be found along streets and roads and also in 
properties and cultures divisions ","It can grow on dry, sandy soils, but it doesn´t develop on heavy or rocky soils. In the 
Mediterranean areas it needs moist, fertile and deep soils. 
It is resistant to lime and salinity 
Tolerates acid and alkaline soils","Wood, fodder and pods for animal feeding, hedges (due to its thorns)","Livestock weight gain","Improvement of soil nitrogen ( it’s a leguminous tree)","Gleditsia with pasture. Estimate the carrying capacity including fodder from leaves and pods","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
31,"Lower Alentejo (e.g. Mértola council) and Algarve regions","Carob tree is native of the Mediterranean region. In the inland mountain region of Algarve, it is traditionally present in an agroforestry system currently affected by a degree of abandonment. Main purpose is seeds production, for human and/or animal consumption, combined with pasture.","","Fruit for animal consumption, fruit for human consumption, animal products.","Increase production in marginal and low productive rural land.","Soil protection: reforestation of poor, shallow soils, affected by erosion and/or wild fires.  ","","Working title: AGroFORestry that Will Advance Rural Development (Agforward)",NA,NA
32,"England and Wales","Traditional 
orchard with 
trees in rows . Sheep are removed 
56 days before 
apple harvest ","","","","","","WP3_Deliverable D3_7.pdf",NA,NA
33,"Northern Ireland","Bush orchards in 
linear rows with 
windbreaks . Short-term grazing 
on small plots; 
sheep start in May, 
removed in June, 
and introduced in 
Nov – Dec* .","","","","","","WP3_Deliverable D3_7.pdf",NA,NA
34,"","«bush» orchards in linear rows. Sheep introducing 
in April & removed 
in mid-November .","","","","","","WP3_Deliverable D3_7.pdf",NA,NA
35,"","Boundary 
(Hedges around 
fields) . Sheep introduced 
in April ","","","","","","WP3_Deliverable D3_7.pdf",NA,NA
36,"Molos","Linear rows of 
trees and in
between 
intercrops . Intercropping only 
in spring-summer, 
sheep from March 
to November* ","","","","","","WP3_Deliverable D3_7.pdf",38.8083,22.6458
37,"Kassandreia","Scattered and in 
some cases linear 
rows of trees . Intercropping only 
in spring-summer, 
sheep & goat 
grazing from 
March- November*.","","","","","","WP3_Deliverable D3_7.pdf",40.0486,23.4139
38,"","Scattered and in 
some cases linear 
rows of trees . Intercropping only 
in spring-early 
summer .","","","","","","WP3_Deliverable D3_7.pdf",NA,NA
39,"","Intercrops 
between linear 
rows of olive 
trees: traditional 
spacing . Intercropping with 
permanent 
evergreen 
(asparagus) or with 
fall-to-spring 
vegetation (bulbs) 
crops .","","","","","","WP3_Deliverable D3_7.pdf",NA,NA
40,"","Linear rows of 
trees . Year-round grazing 
except the lambing 
period ","","","","","","WP3_Deliverable D3_7.pdf",NA,NA
41,"Galicia","Scattered trees with full canopy cover. ","","","","","","WP3_Deliverable D3_7.pdf",42.8782,-8.5445
42,"Las Parras","The dehesa (Spain) and montado (Portugal) are traditional Mediterranean agroforestry systems covering about 3.5 million hectares in the southwest Iberian Peninsula. They are vital for biodiversity, rural economies, and cultural heritage, providing high-quality livestock products and supporting tourism. Recognized under the EU Habitat Directive, they represent a low-intensity farming model where traditional land use and conservation coexist sustainably.","Haploxeralf Xerochrept Acid, Very low SOC Clay-Loam","","","","","WP2_ES_Dehesa_system_description.pdf",NA,NA
43,"Monteviejo","The dehesa (Spain) and montado (Portugal) are traditional Mediterranean agroforestry systems covering about 3.5 million hectares in the southwest Iberian Peninsula. They are vital for biodiversity, rural economies, and cultural heritage, providing high-quality livestock products and supporting tourism. Recognized under the EU Habitat Directive, they represent a low-intensity farming model where traditional land use and conservation coexist sustainably.","Xerochrept Acid Low SOC Sandy-Loam","","","","","WP2_ES_Dehesa_system_description.pdf",NA,NA
44,"Atoquedo","The dehesa (Spain) and montado (Portugal) are traditional Mediterranean agroforestry systems covering about 3.5 million hectares in the southwest Iberian Peninsula. They are vital for biodiversity, rural economies, and cultural heritage, providing high-quality livestock products and supporting tourism. Recognized under the EU Habitat Directive, they represent a low-intensity farming model where traditional land use and conservation coexist sustainably.","Ochraqualf Palexeralf Very acid Moderate SOC; Sand clay-loam","","","","","WP2_ES_Dehesa_system_description.pdf",NA,NA
45,"Valdesequera","The dehesa (Spain) and montado (Portugal) are traditional Mediterranean agroforestry systems covering about 3.5 million hectares in the southwest Iberian Peninsula. They are vital for biodiversity, rural economies, and cultural heritage, providing high-quality livestock products and supporting tourism. Recognized under the EU Habitat Directive, they represent a low-intensity farming model where traditional land use and conservation coexist sustainably.","Ochraqualf Palexeralf Mid acid Moderate SOC; Sand clay-loam","","","","","WP2_ES_Dehesa_system_description.pdf",NA,NA
