siteID,country,species,commonName,category
68,UK,Triticum aestivum,Common Wheat,Forbs
20,Germany,Medicago sativa,Alfalfa,Forbs
20,Germany,Hordeum vulgare,Barley,Forbs
20,Germany,Robinia pseudoacacia,Black Locust,Trees
20,Germany,Lupine,Lupine,Forbs
20,Germany,Zea mays,Maize,Forbs
20,Germany,Avena sativa,Oats,Forbs
20,Germany,Populus spp.,Poplar,Trees
20,Germany,Solanum tuberosum,Potatoes,Forbs
20,Germany,Secale cereale,Rye,Forbs
20,Germany,Secale multicaule,African rye,Forbs
20,Germany,Beta vulgaris,Sugar Beet,Forbs
20,Germany,x Triticosecale,Triticale,Forbs
70,UK,Triticum aestivum,Common Wheat,Forbs
21,Italy,Medicago sativa,Alfalfa,Forbs
21,Italy,Hordeum vulgare,Barley,Forbs
21,Italy,Populus nigra,Black Poplar,Trees
21,Italy,Trifolium spp.,Clover,Forbs
21,Italy,Populus x canadensis,Hybrid Poplar,Trees
21,Italy,Zea mays,Maize,Forbs
21,Italy,Sheep,Sheep,Animals
21,Italy,Glycine max,Soybean,Forbs
21,Italy,Helianthus annuus,Sunflower,Forbs
71,UK,Triticum aestivum,Common Wheat,Forbs
21,Italy,Populus alba,White Poplar,Trees
22,Greece,Hordeum vulgare,Barley,Forbs
22,Greece,Phaseolus vulgaris,Common Bean,Forbs
22,Greece,Juglans regia,Persian Walnut,Trees
22,Greece,Populus clones,Poplar,Trees
22,Greece,Sheep,Sheep,Animals
73,Belgium,Triticum aestivum,Common Wheat,Forbs
23,Spain,Barley,Barley,Forbs
23,Spain,Corn,Corn,Forbs
23,Spain,Triticale,Triticale,Forbs
23,Spain,Juglans clones,Walnut,Trees
76,Belgium,Triticum aestivum,Common Wheat,Forbs
23,Spain,Prunus avium,Wild Cherry,Trees
24,Portugal,Barley,Barley,Forbs
24,Portugal,Corn,Corn,Forbs
24,Portugal,Triticale,Triticale,Forbs
24,Portugal,Juglans clones,Walnut,Trees
78,Belgium,Triticum aestivum,Common Wheat,Forbs
24,Portugal,Prunus avium,Wild Cherry,Trees
25,Portugal,Cows,Cows,Animals
25,Portugal,Leguminous species,Legumes,Forbs
25,Portugal,Sheep,Sheep,Animals
25,Portugal,Eucalyptus globulus,Tasmanian Blue Gum,Trees
26,Denmark,Grass clover,Grass clover,Forbs
26,Denmark,Pigs,Pigs,Animals
26,Denmark,Poplar,Poplar,Trees
27,France,Grass,Grass,Forbs
27,France,Sophora japonica,Japanese Pagoda Tree,Trees
27,France,Acer platanoides,Norway Maple,Trees
27,France,Juglans regia,Persian Walnut,Trees
27,France,Paulownia tomentosa,Princess Tree,Trees
27,France,Sheep,Sheep,Animals
27,France,Gleditsia inermis,Thornless Honeylocust,Trees
27,France,Prunus avium,Wild Cherry,Trees
6,Portugal,Alnus glutinosa,Black Alder,Trees
28,UK,Aspen,Aspen,Trees
28,UK,Birch,Birch,Trees
28,UK,Chicken,Chicken,Animals
28,UK,Cocksfoot sward,Cocksfoot sward,Forbs
28,UK,Field maple,Field Maple,Trees
28,UK,Hornbeam,Hornbeam,Trees
28,UK,Oak,Oak,Trees
28,UK,Lolium perenne,Perennial ryegrass,Forbs
28,UK,Rowan,Rowan,Trees
28,UK,Wild cherry,Wild Cherry,Trees
28,UK,Willow,Willow,Trees
29,UK,Alnus glutinosa,Black Alder,Trees
29,UK,Cattle,Cattle,Animals
29,UK,Cocksfoot,Cocksfoot,Forbs
29,UK,Salix viminalis,Common Osier,Trees
29,UK,Lolium perenne,Perennial ryegrass,Forbs
30,Portugal,Cattle,Cattle,Animals
30,Portugal,Gleditsia triacanthos,Honeylocust,Trees
30,Portugal,Improved pastures,Improved pastures,Forbs
30,Portugal,Natural pastures,Natural pastures,Forbs
30,Portugal,Sheep,Sheep,Animals
31,Portugal,Ceratonia siliqua,Carob,Trees
31,Portugal,Goats,Goats,Animals
31,Portugal,Sheep,Sheep,Animals
32,UK,Malus domestica,Apple,Trees
32,UK,Lolium perenne,Perennial ryegrass,Forbs
32,UK,Sheep,Sheep,Animals
33,UK,Malus domestica,Apple,Trees
33,UK,Lolium perenne,Perennial ryegrass,Forbs
33,UK,Sheep,Sheep,Animals
34,France,Malus domestica,Apple,Trees
34,France,Lolium perenne,Perennial ryegrass,Forbs
34,France,Sheep,Sheep,Animals
35,France,Cows,Cows,Animals
35,France,Fraxinus excelsior,European Ash,Trees
35,France,Grass,Grass,Forbs
35,France,Sheep,Sheep,Animals
36,Greece,Cereals,Cereals,Forbs
36,Greece,Cicer arietinum,Chickpea,Forbs
36,Greece,Grapevine,Grapevine,Forbs
36,Greece,Grass,Grass,Forbs
36,Greece,Zea mays,Maize,Forbs
36,Greece,Olea europaea,Olive,Trees
36,Greece,Sheep,Sheep,Animals
36,Greece,Vegetables,Vegetables,Forbs
37,Greece,Pinus halepensis,Aleppo Pine,Trees
37,Greece,Barley,Barley,Forbs
37,Greece,Olea europaea,Olive,Trees
37,Greece,Pyrus spp.,Pear,Trees
81,Belgium,Triticum aestivum,Common Wheat,Forbs
38,Greece,Cicer arietinum,Chickpea,Forbs
38,Greece,Citrus sinensis,Sweet Orange,Trees
38,Greece,Vegetables,Vegetables,Forbs
39,Italy,Narcissus,Narcissus,Forbs
39,Italy,Olea europaea,Olive,Trees
39,Italy,Tulipa,Tulipa,Forbs
39,Italy,Asparagus acutifolius,Wild Asparagus,Forbs
40,Spain,Juglans major,Arizona Walnut,Trees
40,Spain,Grass,Grass,Forbs
40,Spain,Juglans regia,Persian Walnut,Trees
40,Spain,Sheep,Sheep,Animals
41,Spain,Rubus fruticosus,Blackberry,Forbs
41,Spain,Pteridium spp.,Bracken,Forbs
41,Spain,Ulex spp.,Gorse,Forbs
41,Spain,Mushrooms,Mushrooms,Forbs
41,Spain,Pigs,Pigs,Animals
41,Spain,Castanea sativa,Sweet Chestnut,Trees
42,Portugal,Cattle,Cattle,Animals
42,Portugal,Quercus ilex,Holm Oak,Trees
42,Portugal,Natural pastures,Natural pastures,Forbs
42,Portugal,Shrubs,Shrubs,Shrubs
43,Portugal,Cattle,Cattle,Animals
43,Portugal,Quercus ilex,Holm Oak,Trees
43,Portugal,Natural pastures,Natural pastures,Forbs
44,Portugal,Goats,Goats,Animals
44,Portugal,Quercus ilex,Holm Oak,Trees
44,Portugal,Natural pastures,Natural pastures,Forbs
44,Portugal,Sheep,Sheep,Animals
44,Portugal,Sown pastures,Sown pastures,Forbs
45,Portugal,Quercus ilex,Holm Oak,Trees
45,Portugal,Natural pastures,Natural pastures,Forbs
45,Portugal,Pigs,Pigs,Animals
45,Portugal,Sheep,Sheep,Animals
46,Portugal,Cattle,Cattle,Animals
46,Portugal,Quercus ilex,Holm Oak,Trees
46,Portugal,Natural pastures,Natural pastures,Forbs
46,Portugal,Shrubs,Shrubs,Shrubs
47,Portugal,Cereals,Cereals,Forbs
47,Portugal,Quercus ilex,Holm Oak,Trees
47,Portugal,Natural pastures,Natural pastures,Forbs
47,Portugal,Pigs,Pigs,Animals
47,Portugal,Sheep,Sheep,Animals
48,Portugal,Calves,Calves,Animals
48,Portugal,Cows,Cows,Animals
48,Portugal,Quercus ilex,Holm Oak,Trees
48,Portugal,Natural pastures,Natural pastures,Forbs
48,Portugal,Pigs,Pigs,Animals
49,Portugal,Cattle,Cattle,Animals
49,Portugal,Natural pastures,Natural pastures,Forbs
49,Portugal,Quercus pyrenaica,Pyrenean Oak,Trees
49,Portugal,Shrubs,Shrubs,Shrubs
49,Portugal,Sown pastures,Sown pastures,Forbs
50,Portugal,Cattle,Cattle,Animals
50,Portugal,Quercus suber,Cork Oak,Trees
50,Portugal,Quercus ilex,Holm Oak,Trees
50,Portugal,Natural pastures,Natural pastures,Forbs
50,Portugal,Sown pastures,Sown pastures,Forbs
51,Portugal,Cattle,Cattle,Animals
51,Portugal,Quercus ilex,Holm Oak,Trees
51,Portugal,Natural pastures,Natural pastures,Forbs
51,Portugal,Sown pastures,Sown pastures,Forbs
52,Portugal,Quercus ilex,Holm Oak,Trees
52,Portugal,Natural pastures,Natural pastures,Forbs
52,Portugal,Sheep,Sheep,Animals
52,Portugal,Sown pastures,Sown pastures,Forbs
53,Greece,Cows,Cows,Animals
53,Greece,Goats,Goats,Animals
53,Greece,Grass,Grass,Forbs
53,Greece,Pigs,Pigs,Animals
53,Greece,Sheep,Sheep,Animals
53,Greece,Quercus ithaburensis,Tabor Oak,Trees
54,Italy,Cattle,Cattle,Animals
54,Italy,Dactylis glomerata,Cocksfoot,Forbs
54,Italy,Quercus suber,Cork Oak,Trees
54,Italy,Quercus pubescens,Downy Oak,Trees
54,Italy,Quercus ilex,Holm Oak,Trees
54,Italy,Medics,Medics,Forbs
54,Italy,Lolium perenne,Perennial ryegrass,Forbs
54,Italy,Sheep,Sheep,Animals
54,Italy,Subclovers,Subclovers,Forbs
55,France,Barley,Barley,Forbs
55,France,Alnus glutinosa,Black Alder,Trees
55,France,Cattle,Cattle,Animals
55,France,Fraxinus excelsior,European Ash,Trees
55,France,Fagus sylvatica,European Beech,Trees
55,France,Grass,Grass,Forbs
55,France,Zea mays,Maize,Forbs
55,France,Quercus robur,Pedunculate Oak,Trees
55,France,Pigs,Pigs,Animals
55,France,Poultry,Poultry,Animals
55,France,Castanea sativa,Sweet Chestnut,Trees
87,Belgium,Triticum aestivum,Common Wheat,Forbs
56,UK,Betula spp.,Birch,Trees
56,UK,Alnus glutinosa,Black Alder,Trees
56,UK,Cattle,Cattle,Animals
56,UK,Deer,Deer,Animals
56,UK,Fagus sylvatica,European Beech,Trees
56,UK,Corylus avellana,European Hazel,Trees
56,UK,Grass,Grass,Forbs
56,UK,Herbaceous species,Herbs,Forbs
56,UK,Quercus robur,Pedunculate Oak,Trees
56,UK,Pinus sylvestris,Scots Pine,Trees
56,UK,Quercus petraea,Sessile Oak,Trees
56,UK,Sheep,Sheep,Animals
56,UK,Shrubs,Shrubs,Shrubs
56,UK,Shrubs,Shrubs,Shrubs
56,UK,Castanea sativa,Sweet Chestnut,Trees
57,Germany,Alnus glutinosa,Black Alder,Trees
57,Germany,Prunus padus,Bird Cherry,Trees
66,Netherlands,Alnus glutinosa,Black Alder,Trees
57,Germany,Populus nigra,Black Poplar,Trees
57,Germany,Rubus fruticosus,Blackberry,Shrubs
57,Germany,Rhamnus cathartica,Buckthorn,Shrubs
57,Germany,Cattle,Cattle,Animals
57,Germany,Humulus lupulus,Common Hop,Shrubs
57,Germany,Rosa canina,Dog Rose,Shrubs
57,Germany,Fraxinus excelsior,European Ash,Trees
57,Germany,Viburnum opulus,Guelder-rose,Shrubs
57,Germany,Rhamnus alaternus,Italian Buckthorn,Shrubs
57,Germany,Quercus robur,Pedunculate Oak,Trees
57,Germany,Quercus petraea,Sessile Oak,Trees
57,Germany,Salix spp.,Willow,Trees
57,Germany,Ulmus glabra,Wych Elm,Trees
58,Hungary,Prunus spinosa,Blackthorn,Shrubs
58,Hungary,Crataegus monogyna,Common Hawthorn,Shrubs
58,Hungary,Juniperus communis,Common Juniper,Shrubs
58,Hungary,Rosa caninia,Dog Rose,Shrubs
58,Hungary,Fagus sylvatica,European Beech,Trees
58,Hungary,Carpinus betulus,European Hornbeam,Trees
58,Hungary,Acer campestre,Field Maple,Trees
58,Hungary,Tilia spp.,Lime,Trees
58,Hungary,Fraxinus angustifolia,Narrow-leaved Ash,Trees
58,Hungary,Quercus robur,Pedunculate Oak,Trees
58,Hungary,Populus spp.,Poplar,Trees
104,Germany,Cormus domestica,Service Tree,Trees
58,Hungary,Quercus cerris,Turkey Oak,Trees
58,Hungary,Pyrus pyraster,Wild Pear,Trees
58,Hungary,Salix spp.,Willow,Trees
59,Romania,Fagus sylvatica,European Beech,Trees
59,Romania,Carpinus betulus,European Hornbeam,Trees
59,Romania,Pyrus communis,Pear,Trees
59,Romania,Quercus robur,Pedunculate Oak,Trees
59,Romania,Quercus petraea,Sessile Oak,Trees
59,Romania,Sheep,Sheep,Animals
59,Romania,Pyrus pyraster,Wild Pear,Trees
60,Sweden,Vaccinium myrtillus,Bilberry,Forbs
60,Sweden,Betula spp.,Birch,Trees
60,Sweden,Empetrum spp.,Crowberry,Forbs
60,Sweden,Populus tremula,European Aspen,Trees
60,Sweden,Grass,Grass,Forbs
60,Sweden,Herbs,Herbs,Forbs
60,Sweden,Horsetail,Horsetail,Forbs
60,Sweden,Vaccinium vitis-idaea,Lingonberry,Forbs
60,Sweden,Pinus contorta,Lodgepole Pine,Trees
60,Sweden,Picea abies,Norway Spruce,Trees
60,Sweden,Reindeer,Reindeer,Animals
60,Sweden,Pinus sylvestris,Scots Pine,Trees
60,Sweden,Sedge,Sedge,Forbs
61,Netherlands,Apple,Apple,Trees
61,Netherlands,Cherry,Cherry,Trees
61,Netherlands,Chicken,Chicken,Animals
61,Netherlands,Grass,Grass,Forbs
61,Netherlands,Weeds,Weeds,Forbs
61,Netherlands,Grass clover,Grass clover,Forbs
61,Netherlands,Pear,Pear,Trees
61,Netherlands,Prunes,Plum,Trees
62,UK,Pinus nigra,Austrian Pine,Trees
62,UK,Chicken,Chicken,Animals
62,UK,Clover,Clover,Forbs
62,UK,Pseudotsuga menziesii,Douglas Fir,Trees
62,UK,Ducks,Ducks,Animals
62,UK,Fraxinus excelsior,European Ash,Trees
62,UK,Geese,Geese,Animals
62,UK,Grass,Grass,Forbs
62,UK,Quercus robur,Pedunculate Oak,Trees
62,UK,Betula pendula,Silver Birch,Trees
62,UK,Turkeys,Turkeys,Animals
62,UK,Thuja plicata,Western Red Cedar,Trees
62,UK,Prunus avium,Wild Cherry,Trees
63,Italy,Hordeum vulgare,Barley,Forbs
63,Italy,Robinia pseudoacacia,Black Locust,Trees
63,Italy,Carpinus betulus,European Hornbeam,Trees
63,Italy,Grass,Grass,Forbs
63,Italy,Zea mays,Maize,Forbs
63,Italy,Acer spp.,Maple,Trees
63,Italy,Quercus spp.,Oak,Trees
63,Italy,Peas,Peas,Forbs
63,Italy,Pigs,Pigs,Animals
63,Italy,Poplar,Poplar,Trees
63,Italy,Sorghum,Sorghum,Forbs
63,Italy,Castanea sativa,Sweet Chestnut,Trees
63,Italy,Triticale,Triticale,Forbs
63,Italy,Willow,Willow,Trees
64,Denmark,Grass clover,Grass clover,Forbs
64,Denmark,Pigs,Pigs,Animals
64,Denmark,Poplar,Poplar,Trees
64,Denmark,Willow,Willow,Trees
65,France,Ash,Ash,Trees
65,France,Cattle,Cattle,Animals
65,France,Colza,Colza,Forbs
65,France,Grass,Grass,Forbs
65,France,Zea mays,Maize,Forbs
65,France,Juglans regia,Persian Walnut,Trees
65,France,Sorghum,Sorghum,Forbs
99,Belgium,Triticum aestivum,Common Wheat,Forbs
65,France,Morus alba,White Mulberry,Trees
65,France,Prunus avium,Wild Cherry,Trees
67,UK,Alnus glutinosa,Black Alder,Trees
66,Netherlands,Cattle,Cattle,Animals
66,Netherlands,Salix viminalis,Common Osier,Trees
66,Netherlands,Lolium perenne,Perennial ryegrass,Forbs
71,UK,Alnus glutinosa,Black Alder,Trees
67,UK,Cattle,Cattle,Animals
67,UK,Salix viminalis,Common Osier,Trees
67,UK,Corylus avellana,European Hazel,Trees
67,UK,Lolium perenne,Perennial ryegrass,Forbs
67,UK,Populus spp.,Poplar,Trees
196,Belgium,Alnus glutinosa,Black Alder,Trees
68,UK,Malus domestica,Apple,Trees
68,UK,Aromatic plants,Aromatic plants,Forbs
68,UK,Prunus padus,Bird Cherry,Trees
68,UK,Morus nigra,Black Mulberry,Trees
68,UK,Juglans nigra,Black Walnut,Trees
68,UK,Prunus spinosa,Blackthorn,Shrubs
68,UK,Crataegus monogyna,Common Hawthorn,Shrubs
68,UK,Juniperus communis,Common Juniper,Shrubs
68,UK,Cornus spp.,Dogwood,Shrubs
68,UK,Betula pubescens,Downy Birch,Trees
68,UK,Sambucus nigra,Elder,Shrubs
68,UK,Populus tremula,European Aspen,Trees
68,UK,Malus sylvestris,European Crab Apple,Trees
68,UK,Corylus avellana,European Hazel,Shrubs
68,UK,Carpinus betulus,European Hornbeam,Trees
68,UK,Taxus baccata,European Yew,Trees
68,UK,Field grass,Field grass,Forbs
68,UK,Acer campestre,Field Maple,Trees
68,UK,Lonicera xylosteum,Fly Honeysuckle,Shrubs
68,UK,Salix caprea,Goat Willow,Shrubs
68,UK,Ilex aquifolium,Holly,Shrubs
68,UK,Tilia spp.,Lime,Trees
68,UK,Medicinal plants,Medicinal plants,Forbs
68,UK,Pyrus communis,Pear,Trees
68,UK,Prunus domestica,Plum,Trees
68,UK,Quercus petraea,Sessile Oak,Trees
68,UK,Betula pendula,Silver Birch,Trees
68,UK,Castanea sativa,Sweet Chestnut,Trees
68,UK,Vegetables,Vegetables,Forbs
105,Germany,Triticum aestivum,Common Wheat,Forbs
68,UK,Prunus avium,Wild Cherry,Trees
68,UK,Salix spp.,Willow,Trees
69,UK,Malus domestica,Apple,Trees
69,UK,Carpinus betulus,European Hornbeam,Trees
69,UK,Acer campestre,Field Maple,Trees
209,Belgium,Alnus glutinosa,Black Alder,Trees
69,UK,Quercus robur,Pedunculate Oak,Trees
69,UK,Prunus domestica,Plum,Trees
69,UK,Solanum tuberosum,Potatoes,Forbs
69,UK,Betula lenta,Sweet Birch,Trees
69,UK,Vegetables,Vegetables,Forbs
69,UK,Sorbus aria,Whitebeam,Trees
70,UK,Prunus amygdalus,Almond,Trees
70,UK,Malus domestica,Apple,Trees
70,UK,Elaeagnus umbellata,Autumn Olive,Shrubs
70,UK,Morus nigra,Black Mulberry,Trees
70,UK,Juglans nigra,Black Walnut,Trees
70,UK,Vaccinium spp.,Blueberry,Shrubs
70,UK,Ficus carica,Common Fig,Trees
70,UK,Ribes spp.,Currant,Shrubs
70,UK,Sambucus nigra,Elder,Shrubs
70,UK,Field grass,Field grass,Forbs
70,UK,Flowers,Flowers,Forbs
70,UK,Juglans ailantifolia,Japanese Walnut,Trees
70,UK,Rubus phoenicolasius,Japanese Wineberry,Trees
70,UK,Avena sativa,Oats,Forbs
70,UK,Ornamental plants,Ornamental plants,Forbs
70,UK,Prunus persica,Peach,Trees
70,UK,Pyrus communis,Pear,Trees
70,UK,Carya illinoinensis,Pecan,Trees
70,UK,Rubus idaeus,Raspberry,Shrubs
70,UK,Hippophae rhamnoides,Sea-buckthorn,Shrubs
70,UK,Sunflower,Sunflower,Forbs
70,UK,Castanea sativa,Sweet Chestnut,Trees
70,UK,Vegetables,Vegetables,Forbs
122,Germany,Triticum aestivum,Common Wheat,Forbs
70,UK,Morus alba,White Mulberry,Trees
71,UK,Malus domestica,Apple,Trees
71,UK,Barley,Barley,Forbs
210,Belgium,Alnus glutinosa,Black Alder,Trees
71,UK,Crataegus monogyna,Common Hawthorn,Shrubs
71,UK,Corylus avellana,European Hazel,Shrubs
71,UK,Carpinus betulus,European Hornbeam,Trees
71,UK,Field beans,Field beans,Forbs
71,UK,Acer campestre,Field Maple,Trees
71,UK,Tilia cordata,Small-leaved Lime,Trees
131,Germany,Triticum aestivum,Common Wheat,Forbs
71,UK,Prunus avium,Wild Cherry,Trees
72,UK,Malus domestica,Apple,Trees
72,UK,Avena sativa,Oats,Forbs
73,Belgium,Corn,Corn,Forbs
73,Belgium,Field grass,Field grass,Forbs
73,Belgium,Zea mays,Maize,Forbs
73,Belgium,Quercus robur,Pedunculate Oak,Trees
73,Belgium,Solanum tuberosum,Potatoes,Forbs
73,Belgium,Sugar beet,Sugar Beet,Forbs
134,Germany,Triticum aestivum,Common Wheat,Forbs
74,Belgium,Field grass,Field grass,Forbs
74,Belgium,Crataegus spp.,Hawthorn,Shrubs
74,Belgium,Juglans regia,Persian Walnut,Trees
75,Belgium,Malus domestica,Apple,Trees
75,Belgium,Gleditsia triacanthos,Honeylocust,Trees
75,Belgium,Pyrus communis,Pear,Trees
75,Belgium,Juglans regia,Persian Walnut,Trees
75,Belgium,Prunus domestica,Plum,Trees
75,Belgium,Castanea sativa,Sweet Chestnut,Trees
75,Belgium,Vegetables,Vegetables,Forbs
75,Belgium,Prunus avium,Wild Cherry,Trees
76,Belgium,Malus domestica,Apple,Trees
76,Belgium,Cornus mas,Cornelian Cherry,Shrubs
76,Belgium,Ribes spp.,Currant,Shrubs
76,Belgium,Sambucus nigra,Elder,Shrubs
76,Belgium,Field beans,Field beans,Forbs
76,Belgium,Field grass,Field grass,Forbs
76,Belgium,Grain peas,Grain peas,Forbs
76,Belgium,Populus spp.,Poplar,Trees
76,Belgium,Castanea sativa,Sweet Chestnut,Trees
136,Germany,Triticum aestivum,Common Wheat,Forbs
77,Belgium,Malus domestica,Apple,Trees
77,Belgium,Field grass,Field grass,Forbs
77,Belgium,Pyrus communis,Pear,Trees
77,Belgium,Prunus domestica,Plum,Trees
77,Belgium,Prunus avium,Wild Cherry,Trees
78,Belgium,Barley,Barley,Forbs
78,Belgium,Prunus spinosa,Blackthorn,Shrubs
78,Belgium,Juniperus communis,Common Juniper,Shrubs
78,Belgium,Cornus spp.,Dogwood,Shrubs
78,Belgium,Sambucus nigra,Elder,Shrubs
78,Belgium,Fagus sylvatica,European Beech,Trees
78,Belgium,Field beans,Field beans,Forbs
